"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,16365,0.27680236
0,16380,0.27667496
0,16395,0.27654758
0,16410,0.2764203
0,16425,0.27629307
0,16440,0.2761659
0,16455,0.27603877
0,16470,0.27591172
0,16485,0.27578473
0,16500,0.27565777
0,16515,0.2755309
0,16530,0.2754041
0,16545,0.27527732
0,16560,0.27515063
0,16575,0.275024
0,16590,0.2748974
0,16605,0.2747709
0,16620,0.27464443
0,16635,0.274518
0,16650,0.27439168
0,16665,0.27426538
0,16680,0.27413917
0,16695,0.27401298
0,16710,0.2738869
0,16725,0.27376083
0,16740,0.27363485
0,16755,0.2735089
0,16770,0.27338305
0,16785,0.27325723
0,16800,0.27313146
0,16815,0.27300578
0,16830,0.27288014
0,16845,0.27275455
0,16860,0.27262902
0,16875,0.27250358
0,16890,0.27237818
0,16905,0.27225283
0,16920,0.27212754
0,16935,0.2720023
0,16950,0.27187714
0,16965,0.27175203
0,16980,0.27162698
0,16995,0.271502
0,17010,0.27137706
0,17025,0.27125216
0,17040,0.27112734
0,17055,0.2710026
0,17070,0.2708779
0,17085,0.27075323
0,17100,0.27062866
0,17115,0.27050412
0,17130,0.27037966
0,17145,0.27025524
0,17160,0.2701309
0,17175,0.2700066
0,17190,0.26988235
0,17205,0.26975816
0,17220,0.26963407
0,17235,0.26951
0,17250,0.269386
0,17265,0.26926205
0,17280,0.26913816
0,17295,0.26901433
0,17310,0.26889053
0,17325,0.26876682
0,17340,0.26864317
0,17355,0.26851955
0,17370,0.26839602
0,17385,0.26827255
0,17400,0.2681491
0,17415,0.26802573
0,17430,0.26790243
0,17445,0.26777917
0,17460,0.26765597
0,17475,0.26753283
0,17490,0.26740974
0,17505,0.26728672
0,17520,0.26716375
0,17535,0.26704085
0,17550,0.26691797
0,17565,0.2667952
0,17580,0.26667243
0,17595,0.26654977
0,17610,0.26642713
0,17625,0.26630458
0,17640,0.26618207
0,17655,0.2660596
0,17670,0.2659372
0,17685,0.26581487
0,17700,0.2656926
0,17715,0.26557037
0,17730,0.26544818
0,17745,0.26532608
0,17760,0.26520404
0,17775,0.26508203
0,17790,0.26496008
0,17805,0.26483822
0,17820,0.2647164
0,17835,0.2645946
0,17850,0.2644729
0,17865,0.26435125
0,17880,0.26422966
0,17895,0.2641081
0,17910,0.26398662
0,17925,0.26386517
0,17940,0.26374382
0,17955,0.2636225
0,17970,0.26350123
0,17985,0.26338002
0,18000,0.26325887
0,18015,0.2631378
0,18030,0.26301676
0,18045,0.2628958
0,18060,0.26277485
0,18075,0.262654
0,18090,0.2625332
0,18105,0.26241243
0,18120,0.26229173
0,18135,0.2621711
0,18150,0.2620505
0,18165,0.26193
0,18180,0.2618095
0,18195,0.2616891
0,18210,0.26156873
0,18225,0.26144844
0,18240,0.2613282
0,18255,0.261208
0,18270,0.26108786
0,18285,0.2609678
0,18300,0.26084775
0,18315,0.2607278
0,18330,0.26060787
